Date,BTC_return,BTC_vol_7d,BTC_vol_30d,BTC_rsi,BTC_atr,ETH_return,ETH_vol_7d,ETH_vol_30d,ETH_rsi,ETH_atr,SOL_return,SOL_vol_7d,SOL_vol_30d,SOL_rsi,SOL_atr
2023-01-31,0.013012288539514132,0.3655850917673174,0.36933633185699455,67.14463006513373,411.99148995535717,0.012181319413260568,0.5068082067326153,0.4366554541463571,51.644014219639004,40.60038539341518,0.0002599470993623229,0.931998445147658,1.3363102572652412,53.22681522720992,1.182593890598842
2023-02-01,0.024945734590003956,0.37425946393102505,0.37082681938345546,75.80935233874905,419.97349330357144,0.034236124265502516,0.505345799891747,0.4425957241946094,61.05203467397164,40.808829171316965,0.042535466237191163,0.8492556201679058,1.3081380147623431,63.30893707844707,1.1116925648280553
2023-02-02,-0.010674749877368259,0.3823107467800589,0.3748874336944803,70.79943860796577,409.53683035714283,0.0008820928489129534,0.5025797205195223,0.4424489251628785,58.463802697964425,38.265921456473215,-0.029572739604412975,0.8696034400957244,1.2456653650221317,59.030025465921504,1.1225617272513253
2023-02-03,-0.000961136247671562,0.382949821148565,0.3765935812564308,59.27404005722997,297.5931919642857,0.013001459829638557,0.5029461183517018,0.4368315917844729,50.55457001497298,32.144949776785715,0.016992139378692445,0.8760353780460413,1.245081913336301,46.38900826165409,0.8578711918422154
2023-02-04,-0.0050223137428644544,0.38476393098603756,0.37772453930630495,56.62516705221368,298.76478794642856,0.0013887962452246037,0.48113281479152453,0.4354359245827951,54.75820616309686,29.97906494140625,-0.014823194488821217,0.8736266202270105,1.2477502251413741,48.64622709224521,0.8180653708321708
2023-02-05,-0.016254488231275857,0.33223906439615936,0.38571299427354644,52.61291358260372,321.54854910714283,-0.02147187445568897,0.42743816716894695,0.44423221702452653,50.359562462631025,32.418308803013396,-0.03448516055214372,0.6607346622381475,1.2572790760151278,46.888821434034895,0.8487266813005719
2023-02-06,-0.008555376421285297,0.2307134429901345,0.38848806837882754,48.05583667224447,320.2300502232143,-0.009482405582902836,0.2831012641497358,0.44583215836692697,48.7205915070393,33.50886753627232,-0.034074863346917485,0.46457568343204475,1.2578130980854239,43.41760409392017,0.896014758518764
2023-02-07,0.02191019571493288,0.25725356267541954,0.3900119733728476,56.69400119034083,334.9599609375,0.03391579345123585,0.3337295496525185,0.4512123133125528,62.7306592086867,32.37384033203125,0.049613961940322825,0.5797297691846448,1.2433723797564853,54.390210747402485,0.866931506565639
2023-02-08,-0.014063722484005989,0.20430869672398502,0.3962219604890075,48.03151065162745,323.78152901785717,-0.012813015981606406,0.29220586086630135,0.45223958176592843,54.65003141883622,29.958121163504465,-0.028423961462013248,0.5104612607589378,1.2026730169715303,43.749862741236065,0.7878539221627372
2023-02-09,-0.05007294792111713,0.3421313592119645,0.4318952991840895,39.101197925728044,397.7299107142857,-0.06525524381958801,0.49219438562672524,0.498575541269283,44.49921011357965,36.791939871651785,-0.12574940673404575,0.863819668053218,1.2663712471543016,35.613870045359135,0.967839241027832
2023-02-10,-0.0077228177249046275,0.3366316499443038,0.42969731200765915,37.45593979150412,406.43736049107144,-0.020625312701673705,0.4708903404609006,0.4938297523044728,42.31250599978097,38.69334193638393,-0.015870215652756543,0.8189885749067587,1.2681949067940574,34.51729931054594,0.9867575509207589
2023-02-11,0.010095720621826006,0.3600619441641019,0.40872803933370017,40.104230177974934,418.72684151785717,0.016405796026875204,0.4986070421106884,0.49241931589386234,46.995774581790094,38.645926339285715,0.03418213643312985,0.9033455464313367,1.270434322554986,38.81464032112855,1.006323950631278
2023-02-12,-0.0037871607629455096,0.35761962658124047,0.3822670563502091,30.905387777111045,371.52650669642856,-0.016297178166478982,0.49514196708686287,0.49136581315926453,36.680431592550924,35.15824672154018,0.03118789372744724,0.9502951715161344,1.2450200534895284,31.57457660555592,0.8998452595302037
2023-02-13,0.0009128497942385424,0.36089499733035546,0.35267719751830817,37.96273389273044,306.20298549107144,-0.005206681693073825,0.4962082465760222,0.4517512442462119,42.85934103254964,30.089582170758927,-0.033109807136015156,0.9494021322978692,0.9320024116554403,35.797688278993974,0.7936890465872628
2023-02-14,0.018747466050136215,0.3509455726063819,0.35576938015065845,39.56369382225073,314.31431361607144,0.03244968986860499,0.4908093726372894,0.46200706096350347,46.71721286336665,32.268179757254465,0.04857703529919264,0.9465646026377592,0.9304287018983883,41.23745483110762,0.8671624319893974
2023-02-15,0.08977000786319626,0.66769036851579,0.4365142836550176,54.94729033511111,421.63936941964283,0.07238352581533515,0.6952975200952586,0.505811609932635,53.112118836450556,36.66914585658482,0.09015070673916914,1.116227463842154,0.9638038911907062,45.78422875756455,0.9398865018572126
2023-02-16,-0.028558101481565734,0.5975119923948516,0.44682960052462795,51.196475667710224,452.52999441964283,-0.020326734323949925,0.5498769405067467,0.509504511045906,49.70913081562176,38.97125244140625,-0.06924815109805335,0.8626457746917213,0.9811663548461915,42.94589995246605,1.0020043509347099
2023-02-17,0.03910624942610064,0.6007804012895366,0.45108077474667185,57.69317434451842,518.2141462053571,0.03281742398510527,0.5243051444194466,0.5058683598318556,52.59478594273458,41.343514578683035,0.03876188086694308,0.8499887813621957,0.9473567415576105,44.77631897049439,1.0352163314819336
2023-02-18,0.0030758236488141917,0.6061321960906191,0.44935154108704545,59.076622229539055,515.228515625,-0.0017503487323079013,0.5349705082071669,0.5023381166196431,52.13649574082797,41.389962332589285,0.01337063541347465,0.8446335060048488,0.9451846689154544,47.09468890128606,1.0315508161272322
