Date,BTC,ETH,SOL
2023-01-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-02,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-03,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-04,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-07,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-09,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-10,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-12,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-13,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-14,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-15,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-02-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-02,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-03,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-04,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-07,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-09,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-10,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-12,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-13,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-14,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-15,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-03-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-04-01,0.27955633221289106,0.7204436677871089,0.0
2023-04-02,0.2797022161803819,0.7202977838196181,0.0
2023-04-03,0.25708646468253477,0.7429135353174652,0.0
2023-04-04,0.2561014108823574,0.7438985891176426,0.0
2023-04-05,0.29661611370119817,0.7033838862988018,0.0
2023-04-06,0.3205654979270309,0.6794345020729692,0.0
2023-04-07,0.33321560198423067,0.6667843980157694,0.0
2023-04-08,0.3325805257950982,0.6674194742049018,0.0
2023-04-09,0.31363122589462894,0.686368774105371,0.0
2023-04-10,0.3147568092810836,0.6852431907189164,0.0
2023-04-11,0.21010666419910373,0.7898933358008963,0.0
2023-04-12,0.23246154186813692,0.7675384581318629,0.0
2023-04-13,0.23005710252732664,0.7699428974726733,0.0
2023-04-14,0.31738819160300286,0.6826118083969972,0.0
2023-04-15,0.38547204032672144,0.6145279596732786,0.0
2023-04-16,0.3669508496999607,0.6330491503000392,0.0
2023-04-17,0.44439890303433716,0.5556010969656628,0.0
2023-04-18,0.4399617219113012,0.5600382780886988,0.0
2023-04-19,0.4299301469085451,0.5700698530914549,0.0
2023-04-20,0.5603079610699018,0.4396920389300982,0.0
2023-04-21,0.5528942172321872,0.4471057827678128,0.0
2023-04-22,0.5920469982827677,0.40795300171723237,0.0
2023-04-23,0.5763296512272608,0.4236703487727394,0.0
2023-04-24,0.576228412784644,0.42377158721535585,0.0
2023-04-25,0.5849332085676309,0.4150667914323692,0.0
